Game,Average,Designer,Country,Lat,Long
Gloomhaven (2017),8.58424,Isaac Childres,United States - Indiana,39.7784433,-86.691815
Pandemic Legacy Season 1 (2015),8.47159,Rob Daviau - Matt Leacock,United States - Massachusetts,42.3129922,-71.5293426
Terraforming Mars (2016),8.26781,Jacob Fryxelius,Sweden,59.3884237,17.6141339
Through the Ages A New Story of Civilization (2015),8.23513,Vlaada Chvátil,Czech Republic - Brno,49.2357499,16.0936539
Brass Birmingham (2018),8.20459,Gavan Brown - Matt Tolman - Martin Wallace,Canada - Alberta,53.5544911,-114.0517499
Twilight Imperium: Fourth Edition (2017) ,8.17076,Dane Beltrami - Corey Konieczka - Christian T. Petersen,United States - Minnesota,45.3879739,-95.8856651
Twilight Struggle (2005),8.16138,Ananda Gupta - Jason Matthews,United States - Los Angeles,33.9832406,-118.6278802
Star Wars Rebellion (2016),8.15575,Corey Konieczka,United States - New Hampshire,43.6565338,-75.069244
Gaia Project (2017),8.14076,Jens Drögemüller - Helge Ostertag,Germany - Frankfurt,50.0872772,8.2301201
Scythe (2016),8.09991,Jamey Stegmaier,United States - Missouri,37.9619282,-101.4109236
Great Western Trail (2016),8.09553,Alexander Pfister,Austria - Viena,48.2171116,15.9980018
War of the Ring: Second Edition (2012),8.06417,Roberto Di Meglio - Marco Maggi - Francesco Nepitello,Italy ,41.9087153,11.9769382
Spirit Island (2017),8.03137,R. Eric Reuss,United States - Massachusetts,42.2752349,-71.9474786
Terra Mystica (2012),8.02261,Jens Drögemüller - Helge Ostertag,Germany - Frankfurt,50.0872772,8.2301201
The Castles of Burgundy (2011),8.01115,Stefan Feld,Germany - Gengenbach - Baden-Württemberg,48.4058207,7.9264642
7 Wonders Duel (2015),7.97990,Antoine Bauza - Bruno Cathala,France - Valence,44.9232058,4.7766438
The 7th Continent (2017),7.97479,Ludovic Roudy - Bruno Sautter,France - Paris,48.855533,2.2455318
Concordia (2013),7.94416,Mac Gerdts,Germany - Hamburg ,53.5386597,9.8548292
Brass Lancashire (2007),7.93660,Martin Wallace,United Kingdom - Manchester,53.4798109,-2.2729561
Viticulture: Essential Edition (2015),7.92244,Morten Monrad Pedersen - Jamey Stegmaier - Alan Stone,United States - Missouri - St. Louis,38.6417288,-90.3018482
